Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA?,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
42,Kolten Wong*\wongko01,28,STL,NL,148,549,478,61,136,25,4,11,59,24,4,47,83,.285,.361,.423,.784,106,202,2,13,6,5,5,*4/H
43,Ryan Braun\braunry02,35,MIL,NL,144,508,459,70,131,31,2,22,75,11,1,34,105,.285,.343,.505,.849,116,232,15,8,0,3,1,*7H/D9
44,Francisco Lindor#\lindofr01,25,CLE,AL,143,654,598,101,170,40,2,32,74,22,5,46,98,.284,.335,.518,.854,118,310,13,3,1,6,9,*6/DH
45,Miguel Rojas\rojasmi02,30,MIA,NL,132,526,483,52,137,29,1,5,46,9,5,32,62,.284,.331,.379,.710,90,183,15,5,1,5,2,*6/3H4
46,José Abreu\abreujo02,32,CHW,AL,159,693,634,85,180,38,1,33,123,2,2,36,152,.284,.330,.503,.834,119,319,24,13,0,10,4,*3D
47,Danny Santana#\santada01,28,TEX,AL,130,511,474,81,134,23,6,28,81,21,6,25,151,.283,.324,.534,.857,112,253,8,6,0,5,2,38479H/65D
48,Juan Soto*\sotoju01,20,WSN,NL,150,659,542,110,153,32,5,34,110,12,1,108,132,.282,.401,.548,.949,138,297,11,3,0,6,3,*7
49,Kris Bryant\bryankr01,27,CHC,NL,147,634,543,108,153,35,1,31,77,4,0,74,145,.282,.382,.521,.903,131,283,10,15,0,2,1,*597/3DH
50,Miguel Cabrera\cabremi01,36,DET,AL,136,549,493,41,139,21,0,12,59,0,0,48,108,.282,.346,.398,.744,96,196,18,3,0,5,4,D3/H
51,Avisail Garcia\garciav01,28,TBR,AL,125,530,489,61,138,25,2,20,72,10,4,31,125,.282,.332,.464,.796,111,227,15,7,0,3,2,9D8/H
52,Carlos Santana#\santaca01,33,CLE,AL,158,686,573,110,161,30,1,34,93,4,0,108,108,.281,.397,.515,.911,136,295,13,3,0,2,12,*3D
